Replicate,File,TI (kT),TI Error (kT),TI (kJ/mol),TI Error (kJ/mol),TI (kcal/mol),TI Error (kcal/mol),MBAR (kT),MBAR Error (kT),MBAR (kJ/mol),MBAR Error (kJ/mol),MBAR (kcal/mol),MBAR Error (kcal/mol),BAR (kT),BAR Error (kT),BAR (kJ/mol),BAR Error (kJ/mol),BAR (kcal/mol),BAR Error (kcal/mol)
sim_0,anthracene_fs_1.0_1.2.xvg,3.6902703987617076,0.1406424529867679,9.204784584244852,0.3508099253586912,2.1999963155460924,0.08384558445475411,3.5576906890508937,0.013709097401913816,8.874085872156096,0.034195133362420006,2.1209574264235407,0.0081728330216109,3.5512145697242317,0.010241451018904335,8.857932236540725,0.025545648495227436,2.1170966148519894,0.006105556523715925
sim_1,anthracene_fs_1.0_1.2.xvg,3.4785182629181186,0.1491424878154353,8.676603018918899,0.3720118919090872,2.0737578917110175,0.08891297607769769,3.5286914120989366,0.013688208341649601,8.801751850906273,0.03414302896921242,2.1036691804269294,0.008160379772756313,3.5206275540282195,0.010239873197379113,8.781637856960522,0.02554171287380063,2.0988618204972567,0.006104615887619652
sim_2,anthracene_fs_1.0_1.2.xvg,3.622068830866214,0.13942456109041626,9.034666768218031,0.347772090365197,2.1593371816964697,0.08311952446586926,3.4615693484306203,0.013724749363082364,8.634326684142303,0.03423417465623029,2.063653605196535,0.008182164114777794,3.458334067452115,0.010265462416695337,8.62625679731595,0.025605541056029198,2.0617248559550547,0.00611987118929952
sim_3,anthracene_fs_1.0_1.2.xvg,3.519555946264862,0.14183672767157243,8.778964904153645,0.35378885102542057,2.0982229694439876,0.08455756477663015,3.516588172602976,0.01369362160118899,8.771562271202512,0.034156531472436955,2.096453697706145,0.008163606948479195,3.5051480844617506,0.010251534001119434,8.74302681564346,0.025570798868839048,2.08963356014423,0.006111567607275107
sim_4,anthracene_fs_1.0_1.2.xvg,3.563981457489723,0.13751352878552595,8.889777179863039,0.34300532836695674,2.1247077389730014,0.08198024100548679,3.5318721524224213,0.013695319285758952,8.809685694861427,0.034160766072905184,2.105565414641832,0.008164619042281352,3.5259953585972124,0.010239558419753868,8.795026980089409,0.025540927711761207,2.1020618977269137,0.006104428229388434
sim_5,anthracene_fs_1.0_1.2.xvg,3.46226490980819,0.14036161942257022,8.636061649864,0.35010943130727085,2.0640682719560233,0.08367816235833433,3.522327171649458,0.013696809914345449,8.785877279113526,0.034164484205603106,2.0998750667097337,0.008165507697323878,3.516653302710849,0.010244131660757987,8.771724727756679,0.025552334924172766,2.096492525754464,0.006107154618588136
sim_6,anthracene_fs_1.0_1.2.xvg,3.611330076943205,0.14127078911830143,9.007880677801003,0.35237720854184357,2.152935152438098,0.08422017412567961,3.54452614672779,0.01368565545417841,8.841249043647538,0.034136661202978265,2.1131092360534267,0.008158857840099966,3.533345766954949,0.010233430167603974,8.813361388744639,0.02552564177473702,2.1064439265642063,0.006100774802757413
sim_7,anthracene_fs_1.0_1.2.xvg,3.359757798477827,0.1420457820647553,8.380374186293361,0.3543103035065948,2.002957501504149,0.08468219491075402,3.452806286002433,0.0137229713626686,8.612468637648794,0.03422973972083778,2.0584294067038225,0.008181104139779584,3.4474450861250467,0.010268986828169789,8.599095988858348,0.025614332132265633,2.0552332669355513,0.006121972306946852
sim_8,anthracene_fs_1.0_1.2.xvg,3.6389003364918735,0.14726810714058447,9.076650245516792,0.36733655149320255,2.169371473593879,0.087795542899905,3.5286840541579405,0.013725556656682148,8.801733497708666,0.034236188319967435,2.1036647939074244,0.008182645391961623,3.518172083803193,0.010270978474590232,8.775513082341844,0.025619299973178942,2.0973979642308422,0.006123159649421353
sim_9,anthracene_fs_1.0_1.2.xvg,3.6855329557034975,0.13500997223657352,9.192967796281135,0.3367606101654625,2.1971720354400412,0.08048771753476637,3.4873754538463935,0.013692732961521263,8.698695853780988,0.034154314904047495,2.079038205970599,0.008163077175919572,3.481819313580323,0.010240494090088308,8.684836957618204,0.02554326159056675,2.0757258502911577,0.006104986039810408
Average,,3.563218097372522,0.14145160283325028,8.887873101115476,0.3528282192039727,2.124252653230276,0.08432796826098773,3.513213088698987,0.01370347223429896,8.763143668516813,0.0341811022886639,2.0944416033739985,0.008169479514499017,3.505875518743789,0.010249590027506236,8.744841283186977,0.025565949940057862,2.0900672282951667,0.00611040868548228
