Replicate,File,TI (kT),TI Error (kT),TI (kJ/mol),TI Error (kJ/mol),TI (kcal/mol),TI Error (kcal/mol),MBAR (kT),MBAR Error (kT),MBAR (kJ/mol),MBAR Error (kJ/mol),MBAR (kcal/mol),MBAR Error (kcal/mol),BAR (kT),BAR Error (kT),BAR (kJ/mol),BAR Error (kJ/mol),BAR (kcal/mol),BAR Error (kcal/mol)
sim_0,anthracene_psh_1.0_1.2.xvg,3.2778073446421616,0.13642883773956122,8.17596199080993,0.3402997414208308,1.9541018142471147,0.08133359020574349,3.4982472216400406,0.01371803093631958,8.725813725854543,0.03421741662377901,2.0855195329480267,0.008178158848895556,3.4925860282634686,0.010257165116837635,8.71169279164371,0.025584844779180035,2.082144548672015,0.006114924660415879
sim_1,anthracene_psh_1.0_1.2.xvg,3.4539158462816326,0.1324493794152697,8.615236256887941,0.33037362417766764,2.0590908835774235,0.07896119124705249,3.4753677844221063,0.013677033852432326,8.668744658213726,0.03411515600735073,2.0718796984258425,0.008153717974988223,3.473442207171313,0.010226399432862094,8.663941616192789,0.025508104740380483,2.070731743831928,0.006096583350951357
sim_2,anthracene_psh_1.0_1.2.xvg,3.799439381512247,0.13765914405321492,9.477089012082185,0.3433685421768997,2.2650786357749007,0.08206705118950758,3.456946766800593,0.013703340708453486,8.622796399493849,0.034180774218646244,2.0608978010262544,0.008169401103882945,3.4512383294697755,0.010248987345153799,8.608557622855566,0.025564446646090897,2.0574946517341215,0.006110049389601075
sim_3,anthracene_psh_1.0_1.2.xvg,3.4927905604905405,0.13697373153733708,8.71220296431056,0.34165889115454706,2.0822664828658124,0.08165843478837166,3.5220247961124347,0.013673708699030177,8.785123052083772,0.03410686194825235,2.0996948021232726,0.008151735647287845,3.51387347993746,0.010231886303427706,8.764790907996476,0.02552179085444276,2.0948353030584306,0.006099854410717676
sim_4,anthracene_psh_1.0_1.2.xvg,3.342911588546083,0.13948035510953266,8.33835403147362,0.3479112595510724,1.9929144434688386,0.08315278669958709,3.449076399560024,0.013705688099534296,8.603165037230356,0.034186629407263615,2.056205792837083,0.008170800527548663,3.4440857552290876,0.010257834895245833,8.590716679511564,0.025586515433441228,2.0532305639367983,0.006115323956367406
sim_5,anthracene_psh_1.0_1.2.xvg,3.549236679314116,0.144722584721095,8.852998707777502,0.36098715619316474,2.115917473178179,0.08627800100219041,3.4649762550446557,0.013692438159237489,8.642824663447927,0.03415357956727705,2.0656846709961583,0.008162901426213443,3.462459831143971,0.01023956595629362,8.636547849711942,0.025540946510444616,2.06418447650859,0.0061044327223816
sim_6,anthracene_psh_1.0_1.2.xvg,3.536508507287777,0.13429441631380518,8.821250334624962,0.33497577127417877,2.1083294298816826,0.08006113080166796,3.4769320017188132,0.013687345223203069,8.672646346085696,0.03414087605939484,2.072812224207862,0.008159865214960524,3.475304582382067,0.010243485033691612,8.668587010913939,0.025550722017201415,2.071842019816907,0.006106769124570127
sim_7,anthracene_psh_1.0_1.2.xvg,3.632207905241983,0.13242562619450698,9.059957054681567,0.330314375597841,2.1653817052298194,0.0789470304966159,3.45217383367277,0.01368380843403196,8.610891087273,0.034132054108989555,2.058052363114961,0.00815775671820974,3.4453322376384747,0.010240923639217227,8.593825828930617,0.025544333031619248,2.053973668482461,0.006105242120367889
sim_8,anthracene_psh_1.0_1.2.xvg,3.492298830192495,0.13759422174982647,8.71097642235619,0.34320660395752045,2.081973332303104,0.08202834702617601,3.5196003500354536,0.013669365372800403,8.779075662200848,0.034096028221179776,2.0982494412525927,0.008149146324373751,3.5102590140786143,0.01022706259962634,8.755775205616253,0.025509758902961734,2.0926804984742478,0.0060969787052967805
sim_9,anthracene_psh_1.0_1.2.xvg,3.491546338422044,0.13847622965301162,8.70909945294746,0.3454066304794645,2.081524725847863,0.08255416598457563,3.4717727082843712,0.01368148949954889,8.659777320366908,0.034126269900767635,2.0697364532425686,0.008156374259265686,3.4632089256522147,0.010246638464467486,8.638416345197784,0.025558587741892746,2.0646310576476536,0.006108649077890236
Average,,3.5068662981931085,0.1370504526487161,8.74731262279519,0.34185025959831866,2.090657892637474,0.08170417294414882,3.4787118117291262,0.013689224898459168,8.677085795225064,0.03414556460629008,2.0738732780174622,0.008160985804562638,3.4731790390966446,0.010241994878682334,8.663285185857063,0.025547005065765516,2.070574853216315,0.006105880751856003
