Replicate,File,TI (kT),TI Error (kT),TI (kJ/mol),TI Error (kJ/mol),TI (kcal/mol),TI Error (kcal/mol),MBAR (kT),MBAR Error (kT),MBAR (kJ/mol),MBAR Error (kJ/mol),MBAR (kcal/mol),MBAR Error (kcal/mol),BAR (kT),BAR Error (kT),BAR (kJ/mol),BAR Error (kJ/mol),BAR (kcal/mol),BAR Error (kcal/mol)
sim_0,anthracene_psw_1.0_1.2.xvg,3.3458603082503906,0.14010077154624928,8.34570913739935,0.34945878833227434,1.9946723559749877,0.08352265495513247,3.4371966627559694,0.013690032905179804,8.573532948959658,0.034147580048792224,2.0491235537666483,0.008161467506881506,3.4293992919304075,0.010250719464385336,8.554083664485313,0.025568767138271064,2.0444750632135067,0.0061110820120150715
sim_1,anthracene_psw_1.0_1.2.xvg,3.4517664337468577,0.14207656690066361,8.609874893836627,0.3543870913168031,2.057809487054643,0.08470054763785925,3.4616838752413415,0.013675203299455737,8.634612352808253,0.0341105899880625,2.0637218816463316,0.00815262667018702,3.456437535110421,0.010227831779638775,8.621526203138298,0.0255116774984997,2.0605942168112565,0.006097437260635683
sim_2,anthracene_psw_1.0_1.2.xvg,3.600394643911025,0.13269815656348605,8.980604003053692,0.33099415866738485,2.146415870710729,0.07910950254956615,3.4979281147642283,0.0136544848253675,8.725017765197517,0.034058911094569905,2.085329293785257,0.008140275118205042,3.4944091314106984,0.01021569023878464,8.71624022853363,0.025481392382232716,2.0832314121734297,0.006090198944128278
sim_3,anthracene_psw_1.0_1.2.xvg,3.296965541767774,0.1492988888576401,8.223749024958682,0.3724020090947356,1.9655231895216734,0.08900621632283355,3.429414553087881,0.013682873812951895,8.554121730982308,0.0341297228473799,2.044484161324643,0.008157199533312594,3.423319818459013,0.010252054630624651,8.538919398010803,0.025572097495206742,2.0408507165417786,0.006111877986426084
sim_4,anthracene_psw_1.0_1.2.xvg,3.750065269535171,0.13336648672957935,9.353933249583083,0.33266120052212417,2.235643702099207,0.07950793511523044,3.4697604916238713,0.013666748024067733,8.654758170305994,0.03408949966672096,2.0685368475874744,0.008147585962409406,3.46351254092931,0.010220579872095261,8.639173664559284,0.02549358878424578,2.0648120613191403,0.0060931139541696416
sim_5,anthracene_psw_1.0_1.2.xvg,3.3968537148513644,0.14182385890383953,8.47290396928383,0.35375675195894407,2.025072650402445,0.0845498929156176,3.4120509222173396,0.013707199913262755,8.51081095304655,0.034190400382882805,2.034132636961412,0.008171701812352487,3.4095076408564418,0.010262687653466482,8.504467147705876,0.02559861985648716,2.032616431096051,0.006118216982908021
sim_6,anthracene_psw_1.0_1.2.xvg,3.8568548562133134,0.15490565617749094,9.620302657511209,0.38638718628135277,2.299307518525623,0.09234875389133669,3.4208365690486744,0.015642351830113616,8.532725332692774,0.03901732486472506,2.0393702994007583,0.009325364451416124,3.4142223683971564,0.01170173017307675,8.516227275473275,0.02918807942699079,2.0354271690901706,0.006976118409892635
sim_7,anthracene_psw_1.0_1.2.xvg,3.553346454856697,0.16365917794115123,8.863249880312651,0.40822143512529363,2.1183675622162164,0.0975672646092958,3.4640203786366914,0.01627762910040423,8.640440383849493,0.04060192159949398,2.0651148144955767,0.009704092160490911,3.4569464434482065,0.012185697553158814,8.622795592943449,0.030395258033997903,2.060897608256082,0.007264641021510015
sim_8,anthracene_psw_1.0_1.2.xvg,3.3687184027371746,0.13584496615732375,8.402724969038072,0.33884336788756303,2.008299466787302,0.08098550857733341,3.4168114659091255,0.013680256915830706,8.522685361816562,0.03412319541939311,2.0369706887706887,0.008155639440581527,3.4064421157455347,0.010251627405121321,8.496820689524123,0.02557103185006367,2.0307888837294747,0.006111623291124204
sim_9,anthracene_psw_1.0_1.2.xvg,3.6078299467638297,0.13268560598605705,8.999150167340638,0.33096285327532454,2.150848510358661,0.0791020203812917,3.4727072349235915,0.01367167582179638,8.662108346409104,0.034101791263722134,2.0702935818377397,0.00815052372459898,3.4726644843770984,0.010226394943700038,8.662001712062889,0.025508093542889458,2.070268095617325,0.006096580674686772
Average,,3.52286555726336,0.1426460135763481,8.787220195231786,0.35580748424618,2.1001960313651487,0.08504002969554972,3.448241026820871,0.014134845644843037,8.601081334606821,0.03525709371757426,2.0557077759576527,0.008426647638043561,3.4426861370664286,0.010579501371405207,8.587225557643695,0.0263888606008885,2.0523961657848218,0.00630708905374964
