Replicate,File,TI (kT),TI Error (kT),TI (kJ/mol),TI Error (kJ/mol),TI (kcal/mol),TI Error (kcal/mol),MBAR (kT),MBAR Error (kT),MBAR (kJ/mol),MBAR Error (kJ/mol),MBAR (kcal/mol),MBAR Error (kcal/mol),BAR (kT),BAR Error (kT),BAR (kJ/mol),BAR Error (kJ/mol),BAR (kcal/mol),BAR Error (kcal/mol)
sim_0,1.1_1.2_force-switch.xvg,3.5335580385162193,0.14075652437359282,8.813890865932953,0.35109445804315303,2.1065704746493674,0.08391358939845912,3.51154658104492,0.013697763550345687,8.758986833839108,0.03416686289686566,2.093448096041852,0.008166076218180126,3.511912914706754,0.010236086051118394,8.75990059410022,0.02553226644799654,2.093666489985712,0.006102358137666478
sim_1,1.1_1.2_force-switch.xvg,3.5917054875901324,0.13820603588071256,8.958930303430085,0.3447326756736454,2.1412357321773627,0.08239308692008733,3.5134989360361732,0.013710123478536866,8.763856668616661,0.03419769274513767,2.0946120144877294,0.008173444728761393,3.5054372419862823,0.010257526804403073,8.74374807247199,0.0255857469505027,2.0898059446634774,0.0061151402845369745
sim_2,1.1_1.2_force-switch.xvg,3.5293874735055644,0.14132837622758163,8.803488063869844,0.3525208503020602,2.1040841452843795,0.0842545053303203,3.4831900721717552,0.013703790123047857,8.688256093938234,0.03418189521089971,2.0765430434842815,0.008169669027461688,3.469692860227006,0.010265307183733774,8.654589474689683,0.025605153852432398,2.0684965283675147,0.006119778645418832
sim_3,1.1_1.2_force-switch.xvg,3.6487430646214216,0.13740198191325548,9.10120134404447,0.3427270926770625,2.1752393269704755,0.08191374107960382,3.513127490110433,0.013691530932219162,8.762930156637408,0.034151316635738074,2.094390572810088,0.008162360572595142,3.509878347204664,0.010238615019471285,8.754825693468241,0.025538574551846202,2.0924535596243405,0.006103865810670697
sim_4,1.1_1.2_force-switch.xvg,3.6043321579452563,0.13622002191868265,8.990425497027331,0.33977888401980827,2.148763264107871,0.08120910229918936,3.4974801916236213,0.013680539837190184,8.723900493135023,0.03412390112111328,2.085062259353495,0.008155808107340649,3.4900744413784954,0.010236317808745222,8.70542804306362,0.025532844530033946,2.0806472378259127,0.006102496302589375
sim_5,1.1_1.2_force-switch.xvg,3.7104636179217128,0.13887176823485956,9.255153313997734,0.3463932377052899,2.2120347308789996,0.08278997077086278,3.527326934687462,0.013699487159609041,8.79834838197703,0.034171162162302114,2.102855731830074,0.00816710376728062,3.5194809176367317,0.010243362121391273,8.778777757336483,0.025550415432283476,2.098178240281186,0.006106695849016126
sim_6,1.1_1.2_force-switch.xvg,3.4494685483043925,0.13634986175993805,8.60414318905308,0.3401027485717418,2.0564395767335277,0.08128650778483311,3.4348133302657615,0.013696636931137035,8.56758811029083,0.034164052726877135,2.0477027032243855,0.00816540457143335,3.4296239751634023,0.010245702452975087,8.554644100587801,0.02555625301212368,2.04460901065674,0.006108091064083098
sim_7,1.1_1.2_force-switch.xvg,3.586930359416977,0.13696723275583617,8.947019516022527,0.3416426809917915,2.1383889856650398,0.08165456046648935,3.482519356060058,0.013706098472890579,8.686583100726835,0.034187653017442685,2.0761431885102377,0.008171045176253031,3.4742186968775806,0.010247533026711487,8.665878444583596,0.025560819083193912,2.0711946569272452,0.006109182381260495
sim_8,1.1_1.2_force-switch.xvg,3.121019356939718,0.4356668695610723,7.784879631998906,1.0867007702599853,1.860630887189031,0.25972771755735785,3.4177430314414643,0.044900928701557624,8.525009001855016,0.11199812796077525,2.0375260520685985,0.026768195019305746,3.4141857044642467,0.03360659432845088,8.516135823203394,0.0838262316786587,2.035405311473086,0.020034950210004468
sim_9,1.1_1.2_force-switch.xvg,3.4283907491840746,0.13977086380538617,8.5515680171964,0.34863588665863576,2.0438738090813575,0.08332597673485558,3.528712410965605,0.013699193389915107,8.801804229193854,0.03417042940116056,2.10368169913811,0.008166928633164568,3.523341971873102,0.01024043012312501,8.788408534670793,0.02554310203528921,2.1004800513075508,0.006104947905183845
Average,,3.5203998853945473,0.16815395364309174,8.781069974257333,0.4194329284903174,2.0987260932737413,0.10024687583420586,3.4909958334407256,0.016818609257644914,8.707726307021,0.04195130938783122,2.081196536094885,0.010026603582177631,3.4847847071518268,0.01258174749201255,8.692233653817585,0.031383140757436076,2.0774937031112763,0.0075007506590430385
