Replicate,File,TI (kT),TI Error (kT),TI (kJ/mol),TI Error (kJ/mol),TI (kcal/mol),TI Error (kcal/mol),MBAR (kT),MBAR Error (kT),MBAR (kJ/mol),MBAR Error (kJ/mol),MBAR (kcal/mol),MBAR Error (kcal/mol),BAR (kT),BAR Error (kT),BAR (kJ/mol),BAR Error (kJ/mol),BAR (kcal/mol),BAR Error (kcal/mol)
sim_0,1.1_1.2_potential-shift.xvg,3.3305232206276507,0.14325261252673557,8.30745324488687,0.35732054753531445,1.9855289782234393,0.08540166050079216,3.4966501841275477,0.013671456167175626,8.721830173245394,0.03410124337068219,2.0845674410242334,0.008150392775019643,3.4951964507277284,0.010213037463066336,8.718204069642594,0.02547477546086958,2.083700781463335,0.006088617461966917
sim_1,1.1_1.2_potential-shift.xvg,3.5404667976951396,0.13523438935350343,8.831123651911922,0.33732038248432844,2.1106892093479734,0.08062150632990642,3.4769165604536614,0.01369090152439806,8.672607830339132,0.03414974667939807,2.072803018723502,0.008161985344024394,3.4691082092148053,0.010243638016900859,8.653131156994027,0.02555110360915375,2.068147982073142,0.006106860327235599
sim_2,1.1_1.2_potential-shift.xvg,3.4932430745478955,0.13800372251047963,8.71333168767476,0.3442280375874684,2.082536254224369,0.08227247552281748,3.5035230727089193,0.013679306405852257,8.738973485801642,0.03412082452548796,2.0886647910615777,0.008155072783338421,3.504155022073232,0.010235046528193039,8.740549781611456,0.025529673525645512,2.089041534801973,0.006101738414351221
sim_3,1.1_1.2_potential-shift.xvg,3.56187292130577,0.14182109924368094,8.884517776278985,0.353749868431576,2.1234507113477497,0.08454824771309177,3.5357528734309334,0.013677197524782612,8.819365527788275,0.034115564261642146,2.107878950236203,0.008153815550105675,3.5284162259486083,0.01022436639208068,8.801065443418304,0.025503033647907104,2.103505125099977,0.006095371330761736
sim_4,1.1_1.2_potential-shift.xvg,3.5144022721110297,0.1358185260184502,8.766109894824426,0.3387774172236794,2.095150548476201,0.08096974599036313,3.5440828525799457,0.013648958762555972,8.84014331786123,0.03404512722176855,2.1128449612479034,0.008136980693539329,3.5373423472298953,0.010220583817653811,8.823330213933403,0.0254935986258055,2.1088265329668743,0.006093116306358867
sim_5,1.1_1.2_potential-shift.xvg,3.235812844960782,0.1383329895377922,8.071213481481196,0.3450493411044475,1.9290663196656774,0.08246877177448553,3.4961583537874645,0.013706353822650163,8.720603381752287,0.03418828994625185,2.0842742308203364,0.008171197405891934,3.4924997590571705,0.010251839914980573,8.711477607016455,0.02557156192164788,2.0820931183117724,0.006111749981273393
sim_6,1.1_1.2_potential-shift.xvg,3.4730319725839176,0.13625880433984305,8.662918352150335,0.3398756205171004,2.0704871778561986,0.08123222287693603,3.474802537650371,0.01369255937800196,8.667334741267664,0.03415388192794279,2.071542720188256,0.008162973692146937,3.4635542602515224,0.010248197289437435,8.639277726682778,0.025562475979474947,2.06483693276357,0.006109578388975848
sim_7,1.1_1.2_potential-shift.xvg,3.293883624175251,0.13909242416616904,8.216061678374246,0.3469436283529837,1.963685869592315,0.08292151729277812,3.450417691370264,0.01369729462211721,8.606510673415176,0.034165693230997794,2.057005419076285,0.008165796661328344,3.4418090020697205,0.010251392739079181,8.585037685801373,0.025570446513453148,2.051873251864573,0.006111483392316718
sim_8,1.1_1.2_potential-shift.xvg,3.4469600724642335,0.13505081610668854,8.597886200472733,0.33686248861483625,2.054944120571877,0.0805120670685555,3.4856082993372794,0.013689013708323157,8.694287971749109,0.03414503782654273,2.0779846968807623,0.00816085990118134,3.4812404899489926,0.010232020105501609,8.683393175384671,0.025522124602145268,2.0753807780556097,0.006099934178332998
sim_9,1.1_1.2_potential-shift.xvg,3.3236145431430706,0.13862230732568287,8.290220662681262,0.34577099768408937,1.9814102922278352,0.08264125183654142,3.520207362442502,0.013669615651426673,8.780589756790969,0.03409665250086444,2.098611318544686,0.00814929553079934,3.5150446996237505,0.010230168986835994,8.767712326686214,0.025517507285061244,2.0955335388829384,0.00609883061306435
Average,,3.4213811343614737,0.13814876911290255,8.534083663073673,0.3445898329535824,2.0396949481533637,0.08235894669062675,3.4984119787888885,0.013682265756728368,8.726224686001087,0.03412820614915785,2.0856177547803747,0.008156837033737537,3.492836646614542,0.010235029125372953,8.712317918717126,0.02552963011711639,2.0822939576283765,0.0061017280394637646
