Replicate,File,TI (kT),TI Error (kT),TI (kJ/mol),TI Error (kJ/mol),TI (kcal/mol),TI Error (kcal/mol),MBAR (kT),MBAR Error (kT),MBAR (kJ/mol),MBAR Error (kJ/mol),MBAR (kcal/mol),MBAR Error (kcal/mol),BAR (kT),BAR Error (kT),BAR (kJ/mol),BAR Error (kJ/mol),BAR (kcal/mol),BAR Error (kcal/mol)
sim_0,1.1_1.2_potential-switch.xvg,3.450467621108379,0.13588937855899283,8.606635215097501,0.338954147463599,2.057035185252749,0.0810119855314529,3.471618787912959,0.013671901590778152,8.659393390814632,0.03410235440804991,2.0696446918773015,0.00815065831932359,3.460345362930283,0.01022769104283964,8.631273649636045,0.02551132645324309,2.0629239124369128,0.006097353358805709
sim_1,1.1_1.2_potential-switch.xvg,3.421405128560603,0.14191544551563418,8.534143512735186,0.3539851999969668,2.0397092525657707,0.08460449330711443,3.448366747649022,0.013683770952317716,8.601394924944609,0.034131960616895975,2.0557827258471817,0.00815773437306309,3.4468923217088308,0.010227850508312064,8.59771720713579,0.025511724214155887,2.0549037301949786,0.0060974484259454795
sim_2,1.1_1.2_potential-switch.xvg,3.422503349625495,0.13966777139585565,8.53688284813229,0.34837873926306345,2.0403639694388835,0.08326451703228094,3.4322038540556434,0.013681267032630319,8.561079192570352,0.03412571499290417,2.0461470345531434,0.008156241633103292,3.4288489987119855,0.010227829237184871,8.55271104676726,0.02551167115675832,2.044146999705368,0.006097435744923116
sim_3,1.1_1.2_potential-switch.xvg,3.574159722082838,0.1334116014379699,8.915165220005708,0.33277373188905474,2.130775626196393,0.07953483075742225,3.455831538562098,0.013666213187920703,8.620014642443996,0.03408816560417559,2.0602329451347985,0.008147267113808697,3.4525303361212654,0.01023064443011813,8.61178032515737,0.025518693201680133,2.058264896070117,0.006099114053938846
sim_4,1.1_1.2_potential-switch.xvg,3.5573569454950063,0.14105053103229337,8.873253402660268,0.35182781025511567,2.1207584614388786,0.08408886478372744,3.444512514442744,0.013685586447361205,8.591781161570214,0.03413648907659765,2.0534849812548313,0.00815881670090766,3.4373238952102736,0.010243321472875822,8.573850309805191,0.025550314041114817,2.049199404829156,0.006106671615945223
sim_5,1.1_1.2_potential-switch.xvg,3.5424990738027713,0.1357448667173569,8.836192837029829,0.33859368597205686,2.111900773668697,0.0809258331673176,3.466380450829032,0.013681114861989922,8.646327203455192,0.03412533542777383,2.0665217981489463,0.008156150914859902,3.458497144604605,0.010239544903157882,8.626663566982419,0.025540893996791592,2.0618220762386277,0.006104420171317302
sim_6,1.1_1.2_potential-switch.xvg,3.4232866456542808,0.13640522928753873,8.53883665379734,0.3402408539432879,2.0408309402001286,0.08131951576082405,3.4367243384163757,0.01368769875989483,8.572354812040121,0.034141757899677154,2.0488419722849236,0.008160075979846356,3.4303064851405654,0.010250479006907514,8.556346511695262,0.025568167355857888,2.0450158966766874,0.006110938660577889
sim_7,1.1_1.2_potential-switch.xvg,3.7152849974884674,0.13786664297074241,9.267179468050227,0.3438861147748171,2.21490905068122,0.0821907540092775,3.4878560112485513,0.013675094334852589,8.6998945267478,0.03411031819342663,2.0793246956854206,0.008152561709709997,3.4795052720915485,0.01023653967525024,8.67906495418173,0.025533397940262593,2.074346308360834,0.006102628570808458
sim_8,1.1_1.2_potential-switch.xvg,3.5991703197278766,0.1380968673211742,8.977550123757762,0.34446037230144266,2.1456859760415297,0.08232800485216124,3.4785493890997703,0.013681609323078768,8.676680658161033,0.03412656878124561,2.0737764479352374,0.008156445693414342,3.475085925508197,0.010237548781589625,8.668041606592752,0.02553591499334352,2.071711665055629,0.0061032301609329626
sim_9,1.1_1.2_potential-switch.xvg,3.542345291254731,0.14120147929302682,8.835809251255736,0.35220432635645177,2.111809094468388,0.08417885429169497,3.441336242403576,0.013692294508696877,8.583858463029935,0.03415322125416206,2.0515914108580153,0.008162815787323627,3.4377644577252826,0.010247923552386516,8.574949221973771,0.025561793186531838,2.0494620511409587,0.0061094151975458495
Average,,3.5248479094800453,0.13812498135305848,8.792164853252185,0.34453049822158566,2.101377832995264,0.08234476534932733,3.456337987461977,0.013680655099952107,8.621277897577789,0.03412418862549085,2.06053487035798,0.008155876822536056,3.4507100199752836,0.010236937261062232,8.60723983999276,0.025534389653973966,2.0571796940709275,0.006102865596074083
