Replicate,File,TI (kT),TI Error (kT),TI (kJ/mol),TI Error (kJ/mol),TI (kcal/mol),TI Error (kcal/mol),MBAR (kT),MBAR Error (kT),MBAR (kJ/mol),MBAR Error (kJ/mol),MBAR (kcal/mol),MBAR Error (kcal/mol),BAR (kT),BAR Error (kT),BAR (kJ/mol),BAR Error (kJ/mol),BAR (kcal/mol),BAR Error (kcal/mol)
sim_0,75_8_shift-force-switch.xvg,3.81349929749298,0.14579799442958136,9.512159205832393,0.36366959233923796,2.2734606132486594,0.08691911862792492,3.998481220985795,0.014056553263999457,9.973566792198417,0.03506180599543481,2.3837396730875757,0.008379972752254973,3.9939914864982367,0.01045348771731044,9.962367873329953,0.02607453985598994,2.3810630672394724,0.006231964592731821
sim_1,75_8_shift-force-switch.xvg,3.7936123350070288,0.1487269304558248,9.46255438397989,0.37097535106945234,2.2616047762858242,0.08866523687128401,3.9703816098115112,0.014038081062024737,9.903476842191742,0.03501573006559752,2.366987772990378,0.008368960340725986,3.9738759622320337,0.010438464995200914,9.912192940964108,0.02603706809756987,2.369070970593716,0.006223008627526259
sim_2,75_8_shift-force-switch.xvg,4.033789553748007,0.15627927454523066,10.061637736055012,0.3898134558523438,2.4047891338563603,0.09316765197235749,4.070346603418935,0.014125077835345902,10.152823402929002,0.03523272949149716,2.4265830312927825,0.008420824448254578,4.063099951124155,0.010502429617046354,10.134747797045824,0.02619661753473239,2.422262857802539,0.006261141858205638
sim_3,75_8_shift-force-switch.xvg,4.043183484936619,0.14925383874453144,10.085069382966145,0.372289638850322,2.4103894318752737,0.0889793591898475,4.03036130811439,0.014073695374089675,10.053086530005203,0.03510456422549644,2.402745346559561,0.008390192214506797,4.0265568389738675,0.010465878297721642,10.04359689507014,0.02610544616128322,2.4004772693762284,0.006239351376979736
sim_4,75_8_shift-force-switch.xvg,4.155562132196523,0.14908850412970065,10.36537980147731,0.3718772383079804,2.4773852297985917,0.08888079309464159,4.001339649958284,0.014085497829755914,9.980696682449809,0.0351340035484277,2.38544375775569,0.008397228381555377,3.9972219290947955,0.010471649573623586,9.970425691592558,0.026119841678606683,2.3829889320249897,0.006242791988194713
sim_5,75_8_shift-force-switch.xvg,4.052599189943199,0.15018789665622925,10.108555341155943,0.3746194957272796,2.4160027106013247,0.08953620834782017,4.007262749886639,0.014039720973494374,9.995470900330902,0.03501982056038087,2.3889748805762197,0.008369937992442844,4.003324004442121,0.010448972851003087,9.985646334802826,0.026063278249848616,2.3866267530599488,0.0062292730042659205
sim_6,75_8_shift-force-switch.xvg,4.088811002130321,0.1536908598633967,10.198879868783902,0.3833570727187465,2.437590790818332,0.09162453936872526,4.009685192691595,0.014063420078873507,10.00151329337472,0.03507893415810732,2.39041904717369,0.008384066481383201,4.005481325375807,0.01045904552459032,9.991027424080272,0.026088402910249928,2.387912864263927,0.006235277942220346
sim_7,75_8_shift-force-switch.xvg,4.2022103848690575,0.14687780994635072,10.481736347389552,0.3663630180637925,2.5051951117087836,0.08756286282595423,4.100049249654649,0.014087239238936776,10.226911865463759,0.03513834721288878,2.44429059882021,0.008398266542277433,4.099923673160609,0.010458992304050448,10.22659863514414,0.026088270160193144,2.4442157349770883,0.006235246214195302
sim_8,75_8_shift-force-switch.xvg,4.419754859915624,0.1480248415435838,11.024365969047686,0.3692241034648503,2.6348867038832897,0.08824667864838677,4.046380219604773,0.014021554937927349,10.093043122235555,0.03497450831328908,2.4122952012991283,0.00835910810547062,4.036921915439699,0.010436654127974229,10.0694509073125,0.026032551181211137,2.406656526604326,0.006221929058606867
sim_9,75_8_shift-force-switch.xvg,4.237015843995069,0.15716129372819518,10.568552954031217,0.39201351050987904,2.525944778688149,0.0936934776553248,4.027392774058045,0.014078146008153679,10.04568200037268,0.03511566561466191,2.400975621503987,0.00839284551019644,4.022976864445615,0.010459555467951904,10.034667225753577,0.026089674881755082,2.398343027187757,0.006235581950706281
Average,,4.084003808423442,0.15050892440426247,10.186889099071905,0.37542024769038845,2.4347249280764585,0.08972759266022667,4.026168057818461,0.014066898660260136,10.042627143155178,0.03508761091857816,2.400245493105922,0.008386140276906826,4.022337395078694,0.010459513047647293,10.03307217250959,0.026089569071144004,2.3979618003129994,0.0062355566613632885
