Replicate,File,TI (kT),TI Error (kT),TI (kJ/mol),TI Error (kJ/mol),TI (kcal/mol),TI Error (kcal/mol),MBAR (kT),MBAR Error (kT),MBAR (kJ/mol),MBAR Error (kJ/mol),MBAR (kcal/mol),MBAR Error (kcal/mol),BAR (kT),BAR Error (kT),BAR (kJ/mol),BAR Error (kJ/mol),BAR (kcal/mol),BAR Error (kcal/mol)
sim_0,8_9_force_switch-potential-shift.xvg,3.6220073278572364,0.14375546905844636,9.03451335887732,0.3585748420858524,2.1593005159840626,0.08570144409317694,3.6749051018436774,0.013782902215478456,9.166458328193022,0.0343792275714435,2.190836120505024,0.008216832593557242,3.6754655288959444,0.010278319710263082,9.167856223125879,0.025637611502050496,2.1911702254124945,0.006127536209859104
sim_1,8_9_force_switch-potential-shift.xvg,3.6828190604674993,0.14055556705014535,9.186198422134472,0.3505932023970678,2.195554116188927,0.08379378642377337,3.7023020589658735,0.01376194463319693,9.234795620944857,0.03432695226111048,2.207169125464832,0.008204338494529274,3.694840134400886,0.010282070416075968,9.21618305308868,0.0256469670330322,2.2027206149829537,0.0061297722354283464
sim_2,8_9_force_switch-potential-shift.xvg,3.4309751290462898,0.14436578455854251,8.55801433612293,0.360097175709073,2.045414516281771,0.08606529056144192,3.717441612205702,0.013796301145537896,9.272558795784589,0.03441264904237363,2.2161947408662974,0.008224820516819699,3.710250058734348,0.010292221106906195,9.254620625033713,0.025672286294868642,2.2119074151610207,0.006135823684242025
sim_3,8_9_force_switch-potential-shift.xvg,3.759010121101179,0.14822347970927743,9.376244739773822,0.3697195743458006,2.240976276236573,0.08836509903102309,3.685311872352477,0.013782696870033181,9.192416339503877,0.03437871537033495,2.197040234107045,0.008216710174554241,3.6818787437349547,0.010281311612217445,9.183852953637926,0.025645074319137377,2.1949935357643224,0.006129319865950615
sim_4,8_9_force_switch-potential-shift.xvg,3.6222468779916563,0.1433242559343595,9.03511087806865,0.357499250465669,2.159443326498243,0.08544437152621151,3.705327558960702,0.013759329464321872,9.242342242927185,0.03432042914395505,2.208972811407071,0.008202779432111626,3.694981674274908,0.010275687065606281,9.216536101486133,0.02563104479437486,2.2028049955750792,0.00612596672905709
sim_5,8_9_force_switch-potential-shift.xvg,3.9219530963545126,0.14559471383727324,9.782679722756685,0.36316254167352474,2.3381165685364924,0.08679793061030705,3.7295690019386143,0.013782829642860232,9.302808614361053,0.03437904655074711,2.223424621023196,0.008216789328572444,3.7197598243233294,0.010289760335389128,9.278341202182371,0.025666148297031614,2.2175767691640464,0.006134356667550577
sim_6,8_9_force_switch-potential-shift.xvg,3.4150680778080202,0.14463843812613716,8.51833676125797,0.36077726607770205,2.0359313482930137,0.08622783606063623,3.641836142298647,0.013780875979474836,9.08397313980703,0.0343741734523913,2.171121687334376,0.008215624630112642,3.634715143894912,0.01029797448348173,9.066210957297821,0.025686637165208012,2.166876423828351,0.006139253624571704
sim_7,8_9_force_switch-potential-shift.xvg,3.614158650918803,0.14035125810926413,9.01493609957571,0.3500835866816238,2.1546214387131237,0.08367198534455635,3.661546345169107,0.013790316733435348,9.13313706329492,0.034397721891158424,2.182872147059015,0.008221252842055072,3.652137157809296,0.01029424503887736,9.109667362324249,0.02567733466688333,2.1772627539015885,0.006137030274111694
sim_8,8_9_force_switch-potential-shift.xvg,3.860600138366005,0.14922856694784672,9.629644660046933,0.3722266024276746,2.301540310718674,0.08896429312324917,3.632225753900345,0.013787838676734021,9.060001575282385,0.034391540778215886,2.165392345908792,0.00821977552060609,3.6305078393785792,0.01029581960885501,9.055716514460745,0.02568126217784891,2.1643681917927204,0.006137968971761211
sim_9,8_9_force_switch-potential-shift.xvg,4.017751738102373,0.13950518320853358,10.021633990457012,0.34797318924137816,2.395228009191446,0.08316758825080739,3.5979234966140954,0.0194914304147831,8.974440124506524,0.0486182308665187,2.1449426683811,0.01162003605796336,3.5875277250599895,0.01455402146832895,8.94850954831496,0.036302660231997165,2.1387451119299614,0.008676544032504101
Average,,3.694659021801357,0.1439542716539826,9.215731296907151,0.35907072311053667,2.2026126426642327,0.0858199625025183,3.6748388944249237,0.01435164657758559,9.166293184460546,0.0357978686928249,2.1907966502056744,0.008555895959088167,3.6682063830507152,0.010714143084600114,9.149749454095247,0.02672470264824326,2.186842603751254,0.006387357229503647
