Replicate,File,TI (kT),TI Error (kT),TI (kJ/mol),TI Error (kJ/mol),TI (kcal/mol),TI Error (kcal/mol),MBAR (kT),MBAR Error (kT),MBAR (kJ/mol),MBAR Error (kJ/mol),MBAR (kcal/mol),MBAR Error (kcal/mol),BAR (kT),BAR Error (kT),BAR (kJ/mol),BAR Error (kJ/mol),BAR (kcal/mol),BAR Error (kcal/mol)
sim_0,8_9_switch-potential-switch.xvg,3.4132446074528606,0.13940395764988797,8.513788408427068,0.34772069840437464,2.0348442658764503,0.08310724149244135,3.4535852718680076,0.013679802898263914,8.614411692306575,0.034122062945767015,2.058893807912661,0.008155368772888865,3.449818929397214,0.010233211593817043,8.605017158202575,0.0255250965776628,2.0566484603734643,0.00610064449752935
sim_1,8_9_switch-potential-switch.xvg,3.5289492600060055,0.13876662679925,8.80239501094161,0.3461309793444964,2.103822899364629,0.08272728951828306,3.4489375126646173,0.013668585956517012,8.602818606260358,0.034094084092914145,2.056122993848078,0.008148681666566477,3.4478873818702107,0.010226924200185623,8.600199224290128,0.025509413687868875,2.055496946532057,0.0060968961969093865
sim_2,8_9_switch-potential-switch.xvg,3.521390057059586,0.13975199348866651,8.783539797845645,0.3485888176957492,2.0993163952785956,0.08331472698273162,3.393842417083862,0.013688793095160147,8.465392772467961,0.03414448754257367,2.023277431278193,0.00816072838015623,3.3917500715334703,0.01024600900389985,8.46017375380916,0.025557017653985013,2.0220300558817303,0.006108273817874046
sim_3,8_9_switch-potential-switch.xvg,3.249451163777917,0.14687600814850296,8.105232069074427,0.36635852376953737,1.9371969572357615,0.08756178866384737,3.4012512014154748,0.013687728994162544,8.483872790578966,0.034141833314183766,2.0276942616106512,0.008160094004346023,3.3972417269655892,0.010247700896915882,8.473871802949546,0.02556123780835565,2.0253039682001783,0.006109282458976016
sim_4,8_9_switch-potential-switch.xvg,3.438854347823582,0.13427930141719033,8.577667777117783,0.33493806960131506,2.050111801414384,0.08005211988559154,3.439183630919178,0.013679352455004604,8.578489120714504,0.034120939387674694,2.0503081072453404,0.008155100236059917,3.430644279170238,0.010245962227869563,8.55718908444495,0.025556900978718444,2.0452172763969765,0.0061082459318160705
sim_5,8_9_switch-potential-switch.xvg,3.7466479716535046,0.14077174132749265,9.345409350935576,0.351132414281461,2.233606441428197,0.08392266115713695,3.5057207478838066,0.013651716588753695,8.744455232228074,0.03405200617461692,2.0899749599015474,0.008138624802728709,3.4951495401626613,0.01022320784082297,8.718087058800702,0.025500143828570125,2.0836728152009325,0.006094680647363795
sim_6,8_9_switch-potential-switch.xvg,3.3163391046809965,0.13856945208318844,8.272073254344521,0.3456391588027238,1.977072957539321,0.08260974158764907,3.4495276295059423,0.013666203597418495,8.604290557585594,0.03408814168221396,2.0564747986581247,0.008147261396322648,3.4418484414315014,0.010222662387805094,8.585136060931134,0.02549878328395202,2.051896764084879,0.0060943554693957975
sim_7,8_9_switch-potential-switch.xvg,3.6745229284474803,0.14782874220931277,9.16550505826814,0.36873496528958694,2.19060828352489,0.08812977181873492,3.42039020024397,0.013673192175503108,8.531611937670608,0.034105573563585206,2.0391041916038737,0.008151427715962046,3.414735830681161,0.010241117738448116,8.517508024363108,0.02554481718085907,2.035733275421393,0.006105357834813352
sim_8,8_9_switch-potential-switch.xvg,3.3520689415345535,0.14214891776936261,8.361195572204362,0.35456755889475644,1.9983737027257078,0.08474368042417696,3.3941703455048753,0.013692355735813164,8.46621073704733,0.03415337397533293,2.0234729295046194,0.008162852288559496,3.394488458288915,0.010246786882730449,8.46700421810269,0.02555895794732252,2.023662576028368,0.0061087375591115005
sim_9,8_9_switch-potential-switch.xvg,3.387989749623988,0.13777769517864336,8.450794237024748,0.3436642488471087,2.019788297568056,0.08213772677990169,3.4354832871407943,0.01367332375114205,8.569259209708768,0.03410590175780463,2.0481021055709294,0.008151506156263057,3.423450229122145,0.010243070552365641,8.539244686385883,0.02554968816035422,2.040928462329322,0.006106522026853303
Average,,3.4629458132060478,0.14061744360714978,8.63776005361839,0.35074754349311094,2.064474200195599,0.08383067483104947,3.4342092244230527,0.013676105524773875,8.566081265656873,0.03411284044366669,2.047342558713402,0.008153164541985346,3.4287014888623104,0.010237665332486023,8.552343107227987,0.025536205710764877,2.04405906004493,0.0061032996440642615
