Replicate,File,TI (kT),TI Error (kT),TI (kJ/mol),TI Error (kJ/mol),TI (kcal/mol),TI Error (kcal/mol),MBAR (kT),MBAR Error (kT),MBAR (kJ/mol),MBAR Error (kJ/mol),MBAR (kcal/mol),MBAR Error (kcal/mol),BAR (kT),BAR Error (kT),BAR (kJ/mol),BAR Error (kJ/mol),BAR (kcal/mol),BAR Error (kcal/mol)
sim_0,anthracene_nm_ds_15l.xvg,3.5255957425149265,0.1353820467879689,8.794030202196094,0.3376886901500683,2.101823662092756,0.08070953397468171,3.4282894095377046,0.013694599480322693,8.55131524178596,0.03415897063428758,2.043813394308308,0.008164189922152862,3.419975981707985,0.010255373695926981,8.530578736310668,0.02558037636852161,2.0388572505522626,0.006113856684637097
sim_1,anthracene_nm_ds_15l.xvg,3.432745469067967,0.1381101959474023,8.562430163902347,0.34449361841079945,2.0464699244508475,0.08233595086300177,3.4671556545381375,0.01368036873533705,8.6482608241334,0.034123474335124755,2.066983944582552,0.008155706103041288,3.4634840274462046,0.010227850930903367,8.639102542272466,0.02551172526824176,2.064795062684624,0.00609744867787805
sim_2,anthracene_nm_ds_15l.xvg,3.394463862377101,0.14029981143299763,8.46694286756589,0.34995526124163234,2.0236479128981575,0.083641314828306,3.4996019869409754,0.013677022788257952,8.72919296948978,0.034115128409551464,2.0863271915606547,0.008153711378955894,3.493301414154217,0.01023170657718546,8.713477206417533,0.025521342556305972,2.0825710340386068,0.006099747264891484
sim_3,anthracene_nm_ds_15l.xvg,3.3573304287149193,0.15866576181181574,8.374319503747234,0.3957661636022502,2.001510397645132,0.09459038327013627,3.4966245976207784,0.0147321106296413,8.721766351829176,0.036746874934317914,2.084552187339669,0.008782713894435447,3.49046347445303,0.011022576202074384,8.706398423350235,0.027494039335861167,2.0808791642806486,0.006571233110865479
sim_4,anthracene_nm_ds_15l.xvg,3.7210412584566246,0.1425962459101814,9.281537533041984,0.3556833468262016,2.218340710574088,0.08501036014010555,3.464940202988572,0.019370196536808916,8.642734737406144,0.04831583250258324,2.065663178156344,0.011547761114384138,3.4617922047630074,0.014479371576099645,8.634882563335749,0.036116458110483675,2.063786463512368,0.008632040657381374
sim_5,anthracene_nm_ds_15l.xvg,3.5493671993723623,0.13811579446014408,8.853324269021059,0.34450758299827183,2.115995284182853,0.08233928847951047,3.4744836578872267,0.013695341903898704,8.666539347106575,0.034160822490208416,2.0713526164212652,0.008164632526340443,3.47178296389589,0.01024411700843613,8.659802901336487,0.025552298376318065,2.069742567241034,0.006107145883441219
sim_6,anthracene_nm_ds_15l.xvg,3.4250044394828074,0.1371128497740956,8.543121413569153,0.3420058991682503,2.0418550223635643,0.08174137169413247,3.4360389346253832,0.013851562145123463,8.57064518278059,0.034550488696959876,2.048433361085227,0.008257764984933049,3.4356020336371493,0.010355730735805903,8.569555403700257,0.025830700825479544,2.0481728976339046,0.006173685665745589
sim_7,anthracene_nm_ds_15l.xvg,3.7254499939270542,0.13650575553971228,9.292534412920446,0.3404916004730353,2.220969027944657,0.0813794456197503,3.48835553715025,0.013675981274987425,8.70114051357872,0.03411253052260528,2.079622493685162,0.008153090469073919,3.48186329697782,0.010238610358590337,8.684946667112495,0.02553856292603008,2.075752071489602,0.006103863032033958
sim_8,anthracene_nm_ds_15l.xvg,3.536887737999673,0.13876487413968988,8.822196264498258,0.3461266076177779,2.1085555125473845,0.08272624465052053,3.4597997985532203,0.013698334065793547,8.629912827250404,0.03416828595567492,2.0625986680808803,0.008166416337398404,3.4501539530034675,0.010251019317045537,8.605852820577677,0.025569515072391302,2.0568481884745884,0.006111260772560062
sim_9,anthracene_nm_ds_15l.xvg,3.4987512109199814,0.13283942299971746,8.727070845862926,0.3313465250183521,2.0858199918410434,0.07919372012866922,3.423501335218864,0.013681452697589688,8.5393721623051,0.034126178104213416,2.040958929805234,0.00815635231936267,3.414881778858311,0.010240012708150566,8.517872068562031,0.025542060860928847,2.035820284073143,0.006104699058539398
Average,,3.516663734283342,0.1398392758803725,8.77175074763254,0.348806529550664,2.096498744654048,0.08336676136488144,3.463879111506111,0.014375697025776074,8.640088015766585,0.035857858658552684,2.0650305965025297,0.008570233905007812,3.4583301128897084,0.01075463691102183,8.62624693329756,0.0268257079700562,2.0617224983980784,0.00641149808079737
