Replicate,File,TI (kT),TI Error (kT),TI (kJ/mol),TI Error (kJ/mol),TI (kcal/mol),TI Error (kcal/mol),MBAR (kT),MBAR Error (kT),MBAR (kJ/mol),MBAR Error (kJ/mol),MBAR (kcal/mol),MBAR Error (kcal/mol),BAR (kT),BAR Error (kT),BAR (kJ/mol),BAR Error (kJ/mol),BAR (kcal/mol),BAR Error (kcal/mol)
sim_0,anthracene_ps_ds_15l.xvg,3.3395517701231823,0.1402749260776805,8.329973506069479,0.34989318873467634,1.990911449825401,0.08362647914308707,3.430219850925493,0.013719068993315065,8.556130416612463,0.0342200058896043,2.044964248712348,0.008178777698280185,3.426447141351737,0.010270588753088864,8.546720000796594,0.025618327875722574,2.0427151053529142,0.006122927312553197
sim_1,anthracene_ps_ds_15l.xvg,3.3519446791924223,0.13660680184093563,8.36088561982482,0.3407436441812979,1.9982996223290677,0.08143968551178246,3.4623321088692762,0.01368534186964388,8.636229267088412,0.03413587901691128,2.0641083334341324,0.008158670893143231,3.4564349857856604,0.01023701791291937,8.621519844258671,0.025534590827029344,2.06059269700255,0.006102913677588275
sim_2,anthracene_ps_ds_15l.xvg,3.6431186570205005,0.13936786285527833,9.087172166020595,0.34763066575822876,2.1718862729494726,0.08308572317357282,3.4427716624013343,0.013707609136182566,8.587438886803684,0.03419142112348356,2.0524471526777446,0.008171945775211176,3.4372928521073245,0.010251892305086963,8.573772877789485,0.025571692600322223,2.0491808981332422,0.0061117812142261535
sim_3,anthracene_ps_ds_15l.xvg,3.45169395194145,0.13989551542176143,8.609694099658162,0.34894681002002337,2.0577662762089295,0.08340028920172643,3.4789452812034067,0.013679760924649212,8.677668147189967,0.0341219582493519,2.0740124634775254,0.0081553437498451,3.4685329707299295,0.01024023593964438,8.651696317330346,0.02554261767590199,2.0678050471630844,0.006104832140511948
sim_4,anthracene_ps_ds_15l.xvg,3.4642422709387564,0.14275239973645767,8.640993858424716,0.35607284737157113,2.065247098093861,0.0851034530046776,3.442113710157809,0.013701831658961995,8.585797731003717,0.03417701013797053,2.052054907027657,0.008168501467010165,3.4392090236134933,0.010250215370847936,8.578552458696802,0.02556750975820925,2.0503232453864246,0.006110781490967793
sim_5,anthracene_ps_ds_15l.xvg,3.536455594316938,0.13840112539625568,8.821118351749547,0.3452192950188895,2.108297885217387,0.08250939173491623,3.4664207759399357,0.01368017149615313,8.646427787943345,0.0341229823537783,2.0665458384185813,0.008155588516677413,3.466071148301113,0.01023262654189269,8.645555698163381,0.025523637259956416,2.066337403958743,0.0061002957122266764
sim_6,anthracene_ps_ds_15l.xvg,3.470539274341866,0.1387560848575762,8.656700718244888,0.346104684170506,2.0690011276875926,0.08272100482086663,3.5170478898346857,0.013677772421982173,8.772708961723884,0.03411699825002463,2.0967277633183277,0.008154158281554642,3.513595630417354,0.010226859913829269,8.76409785716197,0.02550925333591685,2.0946696599335493,0.006096857871873052
sim_7,anthracene_ps_ds_15l.xvg,3.3462141358442716,0.14118720576754493,8.34659170329011,0.3521687233482379,1.9948832942853993,0.0841703449685081,3.4309711272504764,0.013705992047804953,8.558004354288423,0.034187387557223864,2.045412130566066,0.008170981729738017,3.424207512091009,0.010257438829055677,8.541133606666644,0.025585527510181533,2.0413799251115305,0.006115087837041476
sim_8,anthracene_ps_ds_15l.xvg,3.2395592999213685,0.14051146082939575,8.08055840939714,0.3504831865399747,1.9312998110413815,0.08376749200286202,3.469592079264009,0.013687207905973026,8.65433809282485,0.034140533543702035,2.0684364466598586,0.008159783351745227,3.4631382242414395,0.010242140904408302,8.638239991926705,0.025547369303397464,2.0645889082042794,0.006105967806739355
sim_9,anthracene_ps_ds_15l.xvg,3.3741464535133394,0.15675979335374274,8.416264366618181,0.3910120325535297,2.011535460472796,0.09345411867914188,3.4680699423114945,0.015029377937970606,8.650541367587502,0.03748836031111516,2.067529007549594,0.008959933152752187,3.470773539473984,0.011241500815239136,8.657285054849996,0.028040111489556697,2.0691407874880485,0.006701747487943761
Average,,3.4217466087154094,0.1414513176136629,8.534995279929763,0.3528275077696935,2.0399128298111284,0.08432779822411413,3.4608484428157924,0.01382741343926366,8.632528501306625,0.03449025364331656,2.063223829184184,0.008243368461595733,3.456570302811304,0.01034505172860126,8.621857370764058,0.025804063763619434,2.0606733677734366,0.006167319255167168
